link,headline,category,short_description,authors,date
https://www.huffpost.com/entry/ap-us-jogger-abducted_n_6314aa89e4b0682ad3d1d6ed,Memphis Police: Arrest Made In Jogger's Disappearance,CRIME,Police in Tennessee say an arrest has been made in the disappearance of a woman who was abducted while jogging.,,2022-09-04
https://www.huffpost.com/entry/trump-org-cfo-to-plead-guilty-testify-against-company_n_62fd866ce4b0a85a8198706b,"Trump Org. CFO To Plead Guilty, Testify Against Company",CRIME,Allen Weisselberg is charged with taking more than $1.7 million in off-the-books compensation from the Trump Organization over several years.,"Michael R. Sisak, AP",2022-08-18
https://www.huffpost.com/entry/united-states-missing-girl-new-hampshire_n_62f55349e4b045e6f6abcc27,Officials: NH Missing Girl Case Shifts To Homicide Probe,CRIME,Authorities say the search for a New Hampshire girl who disappeared at age 5 in 2019 but was not reported missing until late last year is now considered a homicide investigation.,"Holly Ramer, AP",2022-08-11
https://www.huffpost.com/entry/albuquerque-volkswagen-suspect-muslim-shootings_n_62f150bde4b0da5ec0f6c579,Albuquerque Police Share Photo Of Car Eyed In Slayings Of Muslim Men,CRIME,Authorities have said that all four of the killings have several things in common and that they are looking to see if any other crimes could be related.,Nina Golgowski,2022-08-08
https://www.huffpost.com/entry/albuquerque-new-mexico-muslim-community-murders_n_62eed8a3e4b09d09a2c46755,Albuquerque Police Tell Muslim Community To Be 'Vigilant' Amid Series Of Murders,CRIME,"Police are searching for the shooter, or shooters, believed to be responsible for a string of murders around the New Mexico city.",Sara Boboltz,2022-08-06
https://www.huffpost.com/entry/university-of-west-georgia-professor-charged-with-murder-of-incoming-freshman_n_62e95992e4b09d14dc470a05,University of West Georgia Professor Charged With Murder Of Incoming Freshman,CRIME,"Anna Jones, 18, was sitting in a parked car with friends when she was shot.",Elyse Wanshel,2022-08-02
https://www.huffpost.com/entry/ghost-gun-baltimore-cop-narcotics-fbi-arrest_n_62cf4e51e4b007c97c86776e,"FBI Arrests Baltimore Police Officer For Allegedly Selling Ghost Gun, Drugs",CRIME,"Steven Umberto Angelini, a 16-year veteran of the force, gave a man oxycodone and a gun in exchange for cocaine and cash, according to an affidavit.",Phillip Jackson,2022-07-13
https://www.huffpost.com/entry/tiger-king-animal-endangerment-charge_n_62be8ad0e4b065b10ad2a3e8,"'Tiger King' Star Charged With Animal Trafficking, Money Laundering",CRIME,"Animal trainer Bhagavan ""Doc"" Antle was the focus of a Netflix documentary spin-off to ""Tiger King"" in 2021.",Ben Blanchet,2022-07-01
https://www.huffpost.com/entry/chipper-truck-cafe-grubhub-hostage_n_62b38196e4b04a617365121e,Woman Allegedly Being Held Hostage Gets Rescued Thanks To Grubhub Note,CRIME,"The woman placing the order asked restaurant employees to “call the police” and have them come with the delivery, but “please don’t make it obvious.”",David Moye,2022-06-22
https://www.huffpost.com/entry/south-africa-treason-conviction_n_629e3a26e4b0b1100a677cf5,"South African Pastor Found Guilty Of Treason, Racist Plot",CRIME,A South African court has convicted a pastor of plotting to overthrow the government and to kill thousands of Black people in the country.,"MOGOMOTSI MAGOME, AP",2022-06-06
https://www.huffpost.com/entry/multiple-guns-robbery-wellston-market-missouri_n_62994cbee4b05fe694f296ad,Man Robbed Of Assault Rifle At Gunpoint Opens Fire With Second Gun,CRIME,"The accused robber was struck multiple times, and two bystanders were wounded in the St. Louis shootout.",Mary Papenfuss,2022-06-03
https://www.huffpost.com/entry/ap-us-church-theft-beheaded-statue_n_629504abe4b0933e7376f2fa,"Angel Statue Beheaded At Church, $2 Million Relic Stolen",CRIME,The New York City church says its stolen 18-carat gold relic was guarded by its own security system and is irreplaceable due to its historical and artistic value.,"Michael R. Sisak, AP",2022-05-30
https://www.huffpost.com/entry/brownsville-bishop-daniel-flores-gun-ownershoip-sacred_n_629307b1e4b0b1d9845703a0,"Weapons That Can Cause 'Grave Damage' Aren't Sacred, Texas Bishop Fumes",CRIME,"""Don't tell me that guns aren't the problem, people are. I'm sick of hearing it,"" tweeted Brownsville Bishop Daniel Flores.",Mary Papenfuss,2022-05-29
https://www.huffpost.com/entry/guilty-plea-in-plot-to-firebomb-california-democratic-hq_n_6292a18ee4b0edd2d024be92,Guilty Plea In Plot To Firebomb California Democratic HQ,CRIME,"“I want to blow up a democrat building bad,” Benjamin Rogers wrote in a messaging app.","Don Thomspon, AP",2022-05-28
https://www.huffpost.com/entry/teen-abduction-dallas-sex-traffic_n_62897578e4b0415d4d784450,Teen Kidnapped At Dallas Basketball Game Found Days Later Held In Hotel Room,CRIME,Family blasts Dallas police who they say didn't bother to launch a search. The teen was found by Oklahoma City Police 200 miles away.,Mary Papenfuss,2022-05-22
https://www.huffpost.com/entry/buffalo-supermarket-shooting-high-scool_n_6281343ce4b0c2dce6517131,"Buffalo Gunman Had Previously Threatened High School Shooting, Official Says",CRIME,"The 18-year-old racist who killed 10 people at a supermarket was sent for psychiatric treatment last year after threatening his school in Conklin, New York.","Carolyn Thompson and Michael Balsamo, AP",2022-05-15
https://www.huffpost.com/entry/great-replacement-conspiracy-theory-buffalo-mass-shooting_n_62806ccde4b0c2dce650f749,Buffalo Suspect Embraced Racist 'Replacement' Conspiracy Pushed By Tucker Carlson,CRIME,"The suspected shooter expressed repeated fears online that whites are being replaced by people of color, The New York Times reported.",Mary Papenfuss,2022-05-15
https://www.huffpost.com/entry/california-church-shooting_n_62816ef4e4b003ed2963465a,"1 Killed, 4 Critically Wounded In California Church Shooting, Police Say",CRIME,"A group of churchgoers hog-tied the suspect with extension cords before he was able to shoot more congregants, authorities said.",Nick Visser,2022-05-15
https://www.huffpost.com/entry/bc-us-buffalo-supermarket-shooting_n_6280050be4b04353eb0533fc,"13 Shot, 10 Dead In 'Racially Motivated Hate Crime' At Buffalo Supermarket: Sheriff",CRIME,"New York Gov. Kathy Hochul called the shooter ""a white supremacist who has engaged in an act of terrorism, and will be prosecuted as such.""",Sebastian Murdock,2022-05-14
https://www.huffpost.com/entry/nyc-subway-shooting-frank-james-indicted-terrory_n_6277baebe4b009a811c4cbd7,Brooklyn Subway Shooting Suspect Indicted On Terrorism Charge,CRIME,Frank James faces the possibility of life in prison for the charges related to last month's attack that wounded 10 people.,,2022-05-08
https://www.huffpost.com/entry/columbiana-mall-shooting-south-carolina_n_625b2d17e4b06c2ea32b48b8,Arrest Made In South Carolina Mall Shooting That Wounded 14 People,CRIME,At least two others remain wanted for questioning in Saturday's shooting at the Columbiana Centre mall in Columbia.,Sara Boboltz and Nina Golgowski,2022-04-16
https://www.huffpost.com/entry/man-21-arrested-a-week-after-3-killed-at-georgia-gun-range_n_625ad5fee4b0723f801954f3,"Man, 21, Arrested A Week After 3 Killed At Georgia Gun Range",CRIME,"Jacob Christian Muse, of College Park, is charged with three counts of malice murder, the Georgia Bureau of Investigation said in a news release Friday.","Associated Press, AP",2022-04-16
https://www.huffpost.com/entry/ed-buck-found-guilty-prison_n_62588bbfe4b066ecde11a5a9,LA Political Donor Gets 30 Years In Prison For Fetish Deaths,CRIME,A federal judge has sentenced a wealthy California Democratic donor to 30 years in prison for injecting two men with lethal doses of drugs.,"BRIAN MELLEY, AP",2022-04-14
https://www.huffpost.com/entry/las-vegas-teen-attempted-murder-teacher_n_6250cb02e4b052d2bd54cbbd,Las Vegas Teen Accused Of Attempting To Murder His Teacher,CRIME,The 16-year-old suspect will be prosecuted as an adult on sex assault and attempted murder charges.,"Ken Ritter, AP",2022-04-09
https://www.huffpost.com/entry/dc-police-fetuses-anti-abortion-activist-lauren-handy_n_6245e9a5e4b068157f749d7f,DC Police Find 5 Fetuses In Home Of Anti-Abortion Activist Lauren Handy,CRIME,"""People will freak out when they hear,"" the anti-abortion activist reportedly said.",Sebastian Murdock,2022-03-31
https://www.huffpost.com/entry/shooting-sxsw-festival-austin-texas-2022_n_62371d73e4b0f1e82c4af91e,Shooting Wounds 4 Near South By Southwest Festival In Austin,CRIME,"A suspect has been taken into custody for the early morning shooting that left several people with not life-threatening injuries, police said.",,2022-03-20
https://www.huffpost.com/entry/new-york-washington-gunman-homeless_n_622eb82ae4b06349371fb4ac,"Cops In NYC, DC, Suspect Same Gunman Shot 5 Homeless People",CRIME,Two of the victims — one in each city — have died.,Nick Visser,2022-03-14
https://www.huffpost.com/entry/nyc-suspect-targeting-homeless-police-help_n_622db359e4b0e01d97ac45f8,"NYC Police Search For Suspect Who Shot 2 Sleeping Homeless Men, One Fatally",CRIME,"Surveillance video of the violence is ""chilling, to see a cold-blooded act of murder,"" Mayor Eric Adams said at a news conference.",Mary Papenfuss,2022-03-13
https://www.huffpost.com/entry/louisiana-deputies-manslaughter-parked-car_n_62164897e4b03d0c8031b9f8,2 Louisiana Deputies Charged In Shooting Death Of Man In Parked Car,CRIME,"The Jefferson Parish deputies were fired and arrested after killing Daniel Vallee, 34. The sheriff said lethal force ""was not justified.""",Sara Boboltz,2022-02-23
https://www.huffpost.com/entry/portland-oregon-mass-shooter_n_62151d22e4b03d0c802fa2ba,Man Identified In Portland Mass Shooting Railed Against BLM Protesters: Report,CRIME,"Ben Smith, 43, was a ""fly off the handle kind of guy,"" his roommate told OregonLive.",Sebastian Murdock,2022-02-22
https://www.huffpost.com/entry/ahmaud-arbery-hate-crime-trial-mcmichaels_n_61fd5e6de4b0f8a1b843f14a,"2 Of Ahmaud Arbery’s Killers Withdraw Guilty Pleas, Will Face Federal Hate Crime Trial",CRIME,Travis and Gregory McMichael saw their plea deals tossed by a federal judge earlier this week after Arbery’s family objected.,Phillip Jackson,2022-02-04
https://www.huffpost.com/entry/ahmaud-arbery-plea-deal-federal-trial_n_61f80e8ce4b067cbfa2056eb,Federal Judge Rejects Plea Deal For Man Who Killed Ahmaud Arbery After Family Outrage,CRIME,"The judge said she would reject an agreement for another of the men if it were brought to her. Arbery's mother called the deals a ""betrayal.""",Phillip Jackson,2022-01-31
https://www.huffpost.com/entry/bill-cosby-supreme-court-dont-revive-sexual-assault_n_61f87488e4b067cbfa2105fe,Bill Cosby Asks Supreme Court Not To Revive Sexual Assault Case,CRIME,"The 84-year-old actor and comedian has been free since June, when a Pennsylvania appeals court overturned his conviction and released him from prison after nearly three years.","Maryclaire Dale, AP",2022-01-31
