Unnamed: 0,SERVICETYPE,VEHICLETYPE,DEPARTURE_COUNTRY,DEPARTURE_ZIPCODE,ARRIVAL_COUNTRY,ARRIVAL_ZIPCODE,SHIPPING_DATE,GROSS_WEIGHT_KG,NET_WEIGHT_KG,VOLUME_M3,DECLARED_DISTANCE_KM,ACTUAL_DELIVERY_DATE,DELIVERY_TIME_HH,WDAY
55,E-commerce Resi,Ground,US,95116.0,US,7008,2023-01-01 00:00:14,0.36,0.36,0.0,3887.79,2023-01-12 00:00:14,264,6
56,E-commerce,Ground,US,33154.0,US,10011,2023-01-01 00:00:14,1.0,0.0,0.01,3887.79,2023-01-07 00:00:14,144,6
58,E-commerce Resi,Ground,US,7626.0,US,7008,2023-01-01 00:00:14,1.42,1.42,0.0,3887.79,2023-01-04 00:00:14,72,6
60,E-commerce,Express Next Day,US,10022.0,US,92656,2023-01-01 00:00:14,0.54,0.0,0.04,3887.79,2023-01-04 00:00:14,72,6
61,E-commerce,Ground,US,10022.0,US,33140,2023-01-01 00:00:14,0.85,0.0,0.04,3887.79,2023-01-06 00:00:14,120,6
62,E-commerce,Ground,US,10022.0,US,34236,2023-01-01 00:00:14,1.2,0.0,0.09,3887.79,2023-01-06 00:00:14,120,6
66,E-commerce Resi,Ground,US,10012.0,US,7008,2023-01-01 00:00:14,0.7,0.7,0.0,3887.79,2023-01-05 00:00:14,96,6
67,E-commerce,Ground,US,10001.0,US,90274,2023-01-01 00:00:14,5.07,0.0,0.04,3887.79,2023-01-10 00:00:14,216,6
68,E-commerce,Ground,US,10022.0,US,95008,2023-01-02 00:00:14,1.38,0.0,0.09,3887.79,2023-01-10 00:00:14,192,0
70,E-commerce,Ground,US,92626.0,US,10006,2023-01-02 00:00:14,2.0,0.0,0.0,3887.79,2023-01-10 00:00:14,192,0
71,E-commerce Resi,Ground,US,7039.0,US,7008,2023-01-02 00:00:14,1.26,1.26,0.0,3887.79,2023-01-05 00:00:14,72,0
76,E-commerce Resi,Ground,US,97229.0,US,7008,2023-01-02 00:00:14,1.33,1.33,0.0,3887.79,2023-01-10 00:00:14,192,0
119,E-commerce Resi,Ground,US,10014.0,US,7008,2023-01-02 00:00:14,1.3,1.3,0.0,3887.79,2023-01-04 00:00:14,48,0
123,E-commerce,Ground,US,10065.0,US,33146,2023-01-02 00:00:14,1.0,0.0,0.01,3887.79,2023-01-06 00:00:14,96,0
124,E-commerce,Express Next Day,US,10065.0,US,32963,2023-01-02 00:00:14,1.0,0.0,0.01,3887.79,2023-01-05 00:00:14,72,0
129,E-commerce,Ground,US,10022.0,US,10075,2023-01-02 00:00:14,0.54,0.0,0.04,3887.79,2023-01-04 00:00:14,48,0
130,E-commerce,Ground,US,10001.0,US,33149,2023-01-02 00:00:14,1.0,0.0,0.04,3887.79,2023-01-06 00:00:14,96,0
131,E-commerce Resi,Ground,US,33483.0,US,7008,2023-01-02 00:00:14,1.43,1.43,0.0,3887.79,2023-01-09 00:00:14,168,0
132,E-commerce,Ground,US,10022.0,US,10013,2023-01-02 00:00:14,1.58,0.0,0.04,3887.79,2023-01-04 00:00:14,48,0
134,E-commerce,Ground,US,2116.0,US,91205,2023-01-02 00:00:14,0.76,0.0,0.04,3887.79,2023-01-12 00:00:14,240,0
137,E-commerce,Ground,US,10022.0,US,40503,2023-01-02 00:00:14,1.0,0.0,0.01,3887.79,2023-01-05 00:00:14,72,0
142,E-commerce Resi,Ground,US,10580.0,US,7008,2023-01-02 00:00:14,1.14,1.14,0.0,3887.79,2023-01-06 00:00:14,96,0
143,E-commerce Resi,Ground,US,11101.0,US,7008,2023-01-02 00:00:14,1.13,1.13,0.0,3887.79,2023-01-04 00:00:14,48,0
144,E-commerce,Ground,US,77056.0,US,29585,2023-01-02 00:00:14,0.05,0.0,0.04,3887.79,2023-01-06 00:00:14,96,0
