Unnamed: 0,SERVICETYPE,VEHICLETYPE,DEPARTURE_COUNTRY,DEPARTURE_ZIPCODE,ARRIVAL_COUNTRY,ARRIVAL_ZIPCODE,SHIPPING_DATE,GROSS_WEIGHT_KG,NET_WEIGHT_KG,VOLUME_M3,DECLARED_DISTANCE_KM,ACTUAL_DELIVERY_DATE,DELIVERY_TIME_HH,WDAY
14,Via gomma,Standard,IT,62010.0,IT,20121,2023-01-11 00:00:14,4.67,4.12,0.0,,2022-12-22 00:00:14,-480,2
15,Via gomma,Standard,IT,62010.0,IT,20121,2023-01-11 00:00:14,1.21,0.91,0.0,,2022-12-23 00:00:14,-456,2
16,Via gomma,Standard,IT,62010.0,IT,186,2023-01-11 00:00:14,0.53,0.28,0.0,,2022-12-22 00:00:14,-480,2
17,Via gomma,Standard,IT,62010.0,IT,55042,2023-01-11 00:00:14,0.45,0.2,0.0,,2022-12-29 00:00:14,-312,2
18,Via gomma,Standard,IT,62010.0,IT,9124,2023-01-11 00:00:14,6.98,5.7,0.0,,2022-12-23 00:00:14,-456,2
19,Via gomma,Standard,IT,62010.0,IT,25121,2023-01-11 00:00:14,3.47,2.65,0.0,,2022-12-22 00:00:14,-480,2
20,Via gomma,Standard,IT,62010.0,IT,24122,2023-01-11 00:00:14,0.55,0.3,0.0,,2022-12-22 00:00:14,-480,2
21,Via gomma,Standard,IT,62010.0,IT,20900,2023-01-11 00:00:14,6.24,5.69,0.0,,2022-12-23 00:00:14,-456,2
22,Via gomma,Standard,IT,62010.0,IT,35122,2023-01-11 00:00:14,10.98,10.0,0.0,,2022-12-22 00:00:14,-480,2
27,Via gomma,Standard,IT,63076.0,IT,20090,2023-01-03 00:00:14,8.0,7.0,0.059582,,2022-12-28 10:24:14,-134,1
28,Via gomma,Standard,IT,63076.0,IT,25020,2023-01-03 00:00:14,12.34,11.15,0.12,407.91,2023-01-05 00:00:14,48,1
29,Via gomma,Standard,IT,63076.0,IT,25020,2023-01-03 00:00:14,59.42,54.39,0.49,407.91,2023-01-05 00:00:14,48,1
30,Via gomma,Standard,IT,63076.0,IT,25020,2023-01-03 00:00:14,127.0,114.42,1.01,407.91,2023-01-05 00:00:14,48,1
31,Via gomma,Standard,IT,63076.0,IT,25020,2023-01-03 00:00:14,17.22,15.83,0.16,407.91,2023-01-05 00:00:14,48,1
32,Via gomma,Standard,IT,63076.0,IT,25020,2023-01-03 00:00:14,21.58,18.78,0.2,407.91,2023-01-05 00:00:14,48,1
33,Via gomma,Standard,IT,63076.0,IT,25020,2023-01-03 00:00:14,7.46,6.76,0.15,407.91,2023-01-05 00:00:14,48,1
