Unnamed: 0,SERVICETYPE,VEHICLETYPE,DEPARTURE_COUNTRY,DEPARTURE_ZIPCODE,ARRIVAL_COUNTRY,ARRIVAL_ZIPCODE,SHIPPING_DATE,GROSS_WEIGHT_KG,NET_WEIGHT_KG,VOLUME_M3,DECLARED_DISTANCE_KM,ACTUAL_DELIVERY_DATE,DELIVERY_TIME_HH,WDAY
11,Corriere espresso,Documents,IT,62010.0,IT,24040,2023-01-11 00:00:14,0.3,0.2,0.001,,2022-11-24 00:00:14,-1152,2
23,Corriere espresso,Documents,IT,62010.0,IT,22100,2023-01-11 00:00:14,0.3,0.2,0.001,,2022-12-22 00:00:14,-480,2
24,Corriere espresso,,IT,62010.0,IT,27038,2023-01-11 00:00:14,3.3,2.5,0.06,,2022-12-22 00:00:14,-480,2
25,Corriere espresso,Express,IT,63811.0,IT,26100,2023-01-03 11:31:25.577,3.2,2.7,0.07,361.84,2023-01-11 12:22:14,193,1
26,Corriere espresso,Express,IT,63811.0,IT,197,2023-01-13 12:24:46.557,5.59,2.99,0.28,,2023-01-13 00:00:14,-12,4
36,Corriere espresso,Express,IT,63076.0,IT,47842,2023-01-03 00:00:14,8.32,7.37,0.07,,2022-12-29 09:28:14,-111,1
37,Corriere espresso,Express,IT,63076.0,IT,52100,2023-01-03 00:00:14,24.4,22.26,0.2,169.86,2023-01-04 10:07:14,34,1
38,Corriere espresso,Express,IT,63076.0,IT,52100,2023-01-03 00:00:14,1.82,1.52,0.02,169.86,2023-01-04 10:08:14,34,1
39,Corriere espresso,Express,IT,63076.0,IT,24040,2023-01-03 00:00:14,0.88,0.68,0.01,451.17,2023-01-09 12:00:14,156,1
40,Corriere espresso,Express,IT,63076.0,IT,52100,2023-01-03 00:00:14,2.0,1.6,0.02,169.86,2023-01-04 10:09:14,34,1
41,Corriere espresso,Express,IT,63076.0,IT,24040,2023-01-03 00:00:14,13.76,12.57,0.12,451.17,2023-01-09 12:00:14,156,1
75,Corriere espresso,Express,IT,20122.0,IT,63087,2023-01-02 08:56:05.397,4.0,3.9,0.0,436.71,2023-01-09 00:00:14,160,0
99,Corriere espresso,Express,IT,50065.0,IT,58033,2023-01-02 13:37:46.583,6.2,6.1,0.0,98.64,2023-01-03 10:48:14,21,0
100,Corriere espresso,Express,IT,50065.0,IT,43044,2023-01-02 13:40:59.217,21.0,20.0,0.0,146.23,2023-01-03 13:23:14,24,0
101,Corriere espresso,Express,IT,50065.0,IT,47030,2023-01-02 13:42:50.91,18.0,17.799999,0.0,86.04,2023-01-03 11:15:14,22,0
104,Corriere espresso,Express,IT,50065.0,IT,47030,2023-01-02 13:43:50.93,6.2,6.1,0.0,86.04,2023-01-03 11:15:14,22,0
105,Corriere espresso,Express,IT,50065.0,IT,64020,2023-01-02 13:44:36.823,2.6,2.5,0.0,223.15,2023-01-03 11:00:14,22,0
106,Corriere espresso,Express,IT,50065.0,IT,43044,2023-01-02 13:59:11.963,1.5,1.0,0.0,146.23,2023-01-04 09:44:14,44,0
107,Corriere espresso,Express,IT,50065.0,IT,6011,2023-01-02 13:59:48.12,1.0,0.8,0.0,68.86,2023-01-03 13:12:14,24,0
109,Corriere espresso,Express,IT,62029.0,IT,63821,2023-01-02 14:21:22.023,0.4,0.35,0.0,38.84,2023-01-09 00:00:14,154,0
