"","SERVICETYPE","VEHICLETYPE","DEPARTURE_COUNTRY","DEPARTURE_ZIPCODE","ARRIVAL_COUNTRY","ARRIVAL_ZIPCODE","SHIPPING_DATE","GROSS_WEIGHT_KG","NET_WEIGHT_KG","VOLUME_M3","DECLARED_DISTANCE_KM","ACTUAL_DELIVERY_DATE","DELIVERY_TIME_HH","WDAY"
"1","","","IT","62010","IT","20121",2023-01-11 00:00:14,7.3,7,0,NA,2022-11-16 00:00:14,-1344,2
"2","","","IT","62010","IT","15069",2023-01-11 00:00:14,1.7,1.4,0,NA,2022-11-16 00:00:14,-1344,2
"3","","","IT","62010","IT","10036",2023-01-11 00:00:14,0.72,0.42,0,NA,2022-11-17 00:00:14,-1320,2
"4","","","IT","62010","IT","70121",2023-01-11 00:00:14,0.86,0.56,0,NA,2022-11-16 00:00:14,-1344,2
"5","","","IT","62010","IT","20090",2023-01-11 00:00:14,0.58,0.28,0,NA,2022-11-16 00:00:14,-1344,2
"6","","","IT","62010","IT","20090",2023-01-11 00:00:14,0.71,0.41,0,NA,2022-11-16 00:00:14,-1344,2
"7","Corriere espresso","Express","IT","62010","US","94551",2023-01-11 00:00:14,0.58,0.28,0,NA,2022-11-17 00:00:14,-1320,2
"8","Corriere espresso","Express","IT","62010","US","33154",2023-01-11 00:00:14,3.55,3,0,NA,2022-11-17 00:00:14,-1320,2
"9","Corriere espresso","Express","IT","62010","US","89109",2023-01-11 00:00:14,0.58,0.28,0,NA,2022-11-17 00:00:14,-1320,2
"10","Corriere espresso","Express","IT","62010","US","10022",2023-01-11 00:00:14,0.58,0.28,0,NA,2022-11-16 00:00:14,-1344,2
"11","Corriere espresso","Documents","IT","62010","IT","24040",2023-01-11 00:00:14,0.3,0.2,0.001,NA,2022-11-24 00:00:14,-1152,2
"12","Corriere espresso","Express","IT","62010","US","33154",2023-01-11 00:00:14,3,1.8,0,NA,2022-11-25 00:00:14,-1128,2
"13","","","IT","62010","IT","20121",2023-01-11 00:00:14,0.66,0.36,0,NA,2022-12-03 00:00:14,-936,2
"14","Via gomma","Standard","IT","62010","IT","20121",2023-01-11 00:00:14,4.67,4.12,0,NA,2022-12-22 00:00:14,-480,2
"15","Via gomma","Standard","IT","62010","IT","20121",2023-01-11 00:00:14,1.21,0.91,0,NA,2022-12-23 00:00:14,-456,2
"16","Via gomma","Standard","IT","62010","IT","00186",2023-01-11 00:00:14,0.53,0.28,0,NA,2022-12-22 00:00:14,-480,2
"17","Via gomma","Standard","IT","62010","IT","55042",2023-01-11 00:00:14,0.45,0.2,0,NA,2022-12-29 00:00:14,-312,2
"18","Via gomma","Standard","IT","62010","IT","09124",2023-01-11 00:00:14,6.98,5.7,0,NA,2022-12-23 00:00:14,-456,2
"19","Via gomma","Standard","IT","62010","IT","25121",2023-01-11 00:00:14,3.47,2.65,0,NA,2022-12-22 00:00:14,-480,2
"20","Via gomma","Standard","IT","62010","IT","24122",2023-01-11 00:00:14,0.55,0.3,0,NA,2022-12-22 00:00:14,-480,2
"21","Via gomma","Standard","IT","62010","IT","20900",2023-01-11 00:00:14,6.24,5.69,0,NA,2022-12-23 00:00:14,-456,2
"22","Via gomma","Standard","IT","62010","IT","35122",2023-01-11 00:00:14,10.98,10,0,NA,2022-12-22 00:00:14,-480,2
"23","Corriere espresso","Documents","IT","62010","IT","22100",2023-01-11 00:00:14,0.3,0.2,0.001,NA,2022-12-22 00:00:14,-480,2
"24","Corriere espresso","","IT","62010","IT","27038",2023-01-11 00:00:14,3.3,2.5,0.06,NA,2022-12-22 00:00:14,-480,2
"25","Corriere espresso","Express","IT","63811","IT","26100",2023-01-03 11:31:25.577,3.2,2.7,0.07,361.84,2023-01-11 12:22:14,193,1
"26","Corriere espresso","Express","IT","63811","IT","00197",2023-01-13 12:24:46.557,5.59,2.99,0.28,NA,2023-01-13 00:00:14,-12,4
"27","Via gomma","Standard","IT","63076","IT","20090",2023-01-03 00:00:14,8,7,0.059582,NA,2022-12-28 10:24:14,-134,1
"28","Via gomma","Standard","IT","63076","IT","25020",2023-01-03 00:00:14,12.34,11.15,0.12,407.91,2023-01-05 00:00:14,48,1
"29","Via gomma","Standard","IT","63076","IT","25020",2023-01-03 00:00:14,59.42,54.39,0.49,407.91,2023-01-05 00:00:14,48,1
"30","Via gomma","Standard","IT","63076","IT","25020",2023-01-03 00:00:14,127,114.42,1.01,407.91,2023-01-05 00:00:14,48,1
"31","Via gomma","Standard","IT","63076","IT","25020",2023-01-03 00:00:14,17.22,15.83,0.16,407.91,2023-01-05 00:00:14,48,1
"32","Via gomma","Standard","IT","63076","IT","25020",2023-01-03 00:00:14,21.58,18.78,0.2,407.91,2023-01-05 00:00:14,48,1
"33","Via gomma","Standard","IT","63076","IT","25020",2023-01-03 00:00:14,7.46,6.76,0.15,407.91,2023-01-05 00:00:14,48,1
"34","Via gomma","Standard","IT","63076","IT","25020",2023-01-03 00:00:14,95.48,86.25,0.93,407.91,2023-01-05 00:00:14,48,1
"35","Via gomma","Standard","IT","63076","IT","25020",2023-01-03 00:00:14,38.24,34.45,0.35,407.91,2023-01-05 00:00:14,48,1
"36","Corriere espresso","Express","IT","63076","IT","47842",2023-01-03 00:00:14,8.32,7.37,0.07,NA,2022-12-29 09:28:14,-111,1
"37","Corriere espresso","Express","IT","63076","IT","52100",2023-01-03 00:00:14,24.4,22.26,0.2,169.86,2023-01-04 10:07:14,34,1
"38","Corriere espresso","Express","IT","63076","IT","52100",2023-01-03 00:00:14,1.82,1.52,0.02,169.86,2023-01-04 10:08:14,34,1
"39","Corriere espresso","Express","IT","63076","IT","24040",2023-01-03 00:00:14,0.88,0.68,0.01,451.17,2023-01-09 12:00:14,156,1
"40","Corriere espresso","Express","IT","63076","IT","52100",2023-01-03 00:00:14,2,1.6,0.02,169.86,2023-01-04 10:09:14,34,1
"41","Corriere espresso","Express","IT","63076","IT","24040",2023-01-03 00:00:14,13.76,12.57,0.12,451.17,2023-01-09 12:00:14,156,1
"42","E-commerce","Standard","IT","63076","IT","80129",2023-01-03 00:00:14,0.78,0,0.01,233.09,2023-01-04 00:00:14,24,1
"43","E-commerce","Standard","IT","63076","IT","21019",2023-01-03 00:00:14,0.92,0,0.01,511.12,2023-01-04 00:00:14,24,1
"44","E-commerce","Standard","IT","63076","IT","30016",2023-01-03 00:00:14,1.25,0,0.01,306.24,2023-01-04 00:00:14,24,1
"45","E-commerce","Standard","IT","63076","IT","00171",2023-01-03 00:00:14,0.35,0,0.01,154.77,2023-01-05 13:53:03,61,1
"46","E-commerce","Standard","IT","63076","IT","24122",2023-01-03 00:00:14,0.62,0,0.01,453.28,2023-01-04 11:18:56,35,1
"47","E-commerce","Standard","IT","63076","IT","23020",2023-01-03 00:00:14,1.13,0,0.01,477.97,2023-01-04 13:23:47,37,1
"48","E-commerce","Express","IT","63076","IT","70121",2023-01-03 00:00:14,1.08,0,0.01,321.49,2023-01-05 13:46:14,61,1
"49","E-commerce","Standard","IT","63076","IT","03017",2023-01-03 00:00:14,1.3,0,0.01,152.18,2023-01-05 13:58:08,61,1
"50","E-commerce","Standard","IT","63076","IT","80125",2023-01-03 00:00:14,1.05,0,0.01,233.89,2023-01-04 00:00:14,24,1
"51","E-commerce","Standard","IT","63076","IT","54100",2023-01-03 00:00:14,1.1,0,0.01,323.13,2023-01-05 12:24:01,60,1
"52","E-commerce","Standard","IT","63076","IT","20144",2023-01-03 00:00:14,1.25,0,0.01,467.45,2023-01-05 00:00:14,48,1
"53","E-commerce","Standard","IT","63076","IT","18038",2023-01-03 00:00:14,2.03,0,0.01,500.12,2023-01-05 12:40:14,60,1
"54","E-commerce","Standard","IT","63076","IT","70125",2023-01-03 00:00:14,2.37,0,0.01,323.5,2023-01-05 12:54:14,60,1
"55","E-commerce Resi","Ground","US","95116","US","07008",2023-01-01 00:00:14,0.36,0.36,0,NA,2023-01-12 00:00:14,264,6
"56","E-commerce","Ground","US","33154","US","10011",2023-01-01 00:00:14,1,0,0.01,NA,2023-01-07 00:00:14,144,6
"57","E-commerce Resi","Standard","IT","88900","IT","63076",2023-01-01 00:00:14,0.74,0.74,0,508.84,2023-01-05 00:00:14,96,6
"58","E-commerce Resi","Ground","US","07626","US","07008",2023-01-01 00:00:14,1.42,1.42,0,NA,2023-01-04 00:00:14,72,6
"59","E-commerce Resi","Standard","IT","52100","IT","63076",2023-01-01 00:00:14,0.89,0.89,0,169.86,2023-01-10 00:00:14,216,6
"60","E-commerce","Express Next Day","US","10022","US","92656",2023-01-01 00:00:14,0.54,0,0.04,NA,2023-01-04 00:00:14,72,6
"61","E-commerce","Ground","US","10022","US","33140",2023-01-01 00:00:14,0.85,0,0.04,NA,2023-01-06 00:00:14,120,6
"62","E-commerce","Ground","US","10022","US","34236",2023-01-01 00:00:14,1.2,0,0.09,NA,2023-01-06 00:00:14,120,6
"63","E-commerce Resi","Standard","IT","56123","IT","63076",2023-01-01 00:00:14,1.07,1.07,0,291.9,2023-01-09 00:00:14,192,6
"64","E-commerce Resi","Standard","IT","90139","IT","63076",2023-01-01 00:00:14,1.48,1.48,0,535.1,2023-01-10 00:00:14,216,6
"65","E-commerce Resi","Standard","IT","72019","IT","63076",2023-01-01 00:00:14,0.76,0.76,0,408.31,2023-01-09 00:00:14,192,6
"66","E-commerce Resi","Ground","US","10012","US","07008",2023-01-01 00:00:14,0.7,0.7,0,NA,2023-01-05 00:00:14,96,6
"67","E-commerce","Ground","US","10001","US","90274",2023-01-01 00:00:14,5.07,0,0.04,NA,2023-01-10 00:00:14,216,6
"68","E-commerce","Ground","US","10022","US","95008",2023-01-02 00:00:14,1.38,0,0.09,NA,2023-01-10 00:00:14,192,0
"69","E-commerce Resi","Standard","IT","96016","IT","63076",2023-01-02 00:00:14,0.52,0.52,0,635.08,2023-01-05 00:00:14,72,0
"70","E-commerce","Ground","US","92626","US","10006",2023-01-02 00:00:14,2,0,0,NA,2023-01-10 00:00:14,192,0
"71","E-commerce Resi","Ground","US","07039","US","07008",2023-01-02 00:00:14,1.26,1.26,0,NA,2023-01-05 00:00:14,72,0
"72","E-commerce Resi","Standard","IT","95033","IT","63076",2023-01-02 00:00:14,1.15,1.15,0,593.31,2023-01-12 00:00:14,240,0
"73","Via gomma","Standard","IT","63076","IT","24040",2023-01-03 00:00:14,14.92,13.77,0.12,451.17,2023-01-05 00:00:14,48,1
"74","E-commerce Resi","Standard","IT","27010","IT","63076",2023-01-02 00:00:14,0.31,0.31,0,456.31,2023-01-03 00:00:14,24,0
"75","Corriere espresso","Express","IT","20122","IT","63087",2023-01-02 08:56:05.397,4,3.9,0,436.71,2023-01-09 00:00:14,160,0
"76","E-commerce Resi","Ground","US","97229","US","07008",2023-01-02 00:00:14,1.33,1.33,0,NA,2023-01-10 00:00:14,192,0
"77","E-commerce","Standard","IT","20090","IT","29029",2023-01-02 00:00:14,1.95,0,0.01,68.41,2023-01-03 00:00:14,24,0
"78","E-commerce","Standard","IT","00187","IT","16036",2023-01-02 00:00:14,2,0,0.01,385.51,2023-01-04 00:00:14,48,0
"79","E-commerce Resi","Standard","IT","96019","IT","63076",2023-01-02 00:00:14,0.29,0.29,0,685.67,2023-01-05 00:00:14,72,0
"80","E-commerce Resi","Standard","IT","80010","IT","63076",2023-01-02 00:00:14,0.82,0.82,0,224.52,2023-01-04 00:00:14,48,0
"81","E-commerce","Standard","IT","50123","IT","80047",2023-01-02 00:00:14,2,0,0.01,422.9,2023-01-05 00:00:14,72,0
"82","E-commerce","Standard","IT","70121","IT","88060",2023-01-02 00:00:14,1,0,0.01,277.21,2023-01-05 13:53:05,85,0
"83","E-commerce Resi","Standard","IT","58100","IT","63076",2023-01-02 00:00:14,0.86,0.86,0,222.36,2023-01-05 00:00:14,72,0
"84","E-commerce Resi","Standard","IT","80010","IT","63076",2023-01-02 00:00:14,1.05,1.05,0,224.52,2023-01-09 00:00:14,168,0
"85","E-commerce Resi","Standard","IT","95040","IT","63076",2023-01-02 00:00:14,0.31,0.31,0,610.59,2023-01-24 00:00:14,528,0
"86","E-commerce","Standard","IT","70121","IT","90144",2023-01-02 00:00:14,1,0,0.01,449.41,2023-01-05 11:01:31,83,0
"87","E-commerce","Standard","IT","00187","IT","37063",2023-01-02 00:00:14,1,0,0.04,393.41,2023-01-03 10:56:39,34,0
"88","E-commerce Resi","Standard","IT","20864","IT","63076",2023-01-02 00:00:14,1,1,0,463.45,2023-01-04 00:00:14,48,0
