Unnamed: 0,SERVICETYPE,VEHICLETYPE,DEPARTURE_COUNTRY,DEPARTURE_ZIPCODE,ARRIVAL_COUNTRY,ARRIVAL_ZIPCODE,SHIPPING_DATE,GROSS_WEIGHT_KG,NET_WEIGHT_KG,VOLUME_M3,DECLARED_DISTANCE_KM,ACTUAL_DELIVERY_DATE,DELIVERY_TIME_HH,WDAY
42,E-commerce,Standard,IT,63076.0,IT,80129,2023-01-03 00:00:14,0.78,0.0,0.01,233.09,2023-01-04 00:00:14,24,1
43,E-commerce,Standard,IT,63076.0,IT,21019,2023-01-03 00:00:14,0.92,0.0,0.01,511.12,2023-01-04 00:00:14,24,1
44,E-commerce,Standard,IT,63076.0,IT,30016,2023-01-03 00:00:14,1.25,0.0,0.01,306.24,2023-01-04 00:00:14,24,1
45,E-commerce,Standard,IT,63076.0,IT,171,2023-01-03 00:00:14,0.35,0.0,0.01,154.77,2023-01-05 13:53:03,61,1
46,E-commerce,Standard,IT,63076.0,IT,24122,2023-01-03 00:00:14,0.62,0.0,0.01,453.28,2023-01-04 11:18:56,35,1
47,E-commerce,Standard,IT,63076.0,IT,23020,2023-01-03 00:00:14,1.13,0.0,0.01,477.97,2023-01-04 13:23:47,37,1
48,E-commerce,Express,IT,63076.0,IT,70121,2023-01-03 00:00:14,1.08,0.0,0.01,321.49,2023-01-05 13:46:14,61,1
49,E-commerce,Standard,IT,63076.0,IT,3017,2023-01-03 00:00:14,1.3,0.0,0.01,152.18,2023-01-05 13:58:08,61,1
50,E-commerce,Standard,IT,63076.0,IT,80125,2023-01-03 00:00:14,1.05,0.0,0.01,233.89,2023-01-04 00:00:14,24,1
51,E-commerce,Standard,IT,63076.0,IT,54100,2023-01-03 00:00:14,1.1,0.0,0.01,323.13,2023-01-05 12:24:01,60,1
52,E-commerce,Standard,IT,63076.0,IT,20144,2023-01-03 00:00:14,1.25,0.0,0.01,467.45,2023-01-05 00:00:14,48,1
53,E-commerce,Standard,IT,63076.0,IT,18038,2023-01-03 00:00:14,2.03,0.0,0.01,500.12,2023-01-05 12:40:14,60,1
